Savings,Cluster
17833.09347,Cluster 1
16275.70334,Cluster 5
16180.26525,Cluster 2
17593.24679,Cluster 1
16464.9605,Cluster 5
16123.07075,Cluster 2
14047.38899,Cluster 5
7641.160382,Cluster 3
19201.11992,Cluster 5
16740.3435,Cluster 1
15893.72977,Cluster 5
17808.26624,Cluster 5
15188.05875,Cluster 2
14000.24896,Cluster 2
15419.41776,Cluster 4
16330.08119,Cluster 2
8715.679574,Cluster 3
16465.06352,Cluster 4
7665.884295,Cluster 3
13504.57757,Cluster 1
14326.60112,Cluster 2
6483.049644,Cluster 3
16079.6227,Cluster 1
17376.91474,Cluster 2
13685.97236,Cluster 4
12207.52608,Cluster 4
7664.415651,Cluster 3
16917.57169,Cluster 4
17460.17935,Cluster 5
7461.567503,Cluster 3
18142.23275,Cluster 2
15492.00471,Cluster 5
18401.08844,Cluster 5
