CarName,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,horsepower,peakrpm,citympg,highwaympg,price,engsize_bin,curbweight_bin,horsepower_bin
buick electra 225 custom,sedan,rwd,110,190.9,70.3,56.5,3515,five,183,3.58,123,4350,22,25,25552,Large,3167.2,116.4
toyota celica gt,sedan,fwd,102.4,175.6,66.5,54.9,2480,four,110,3.27,73,4500,30,33,10698,Small,2268.4,56
nissan rogue,hatchback,fwd,97.2,173.4,65.2,54.7,2324,four,120,3.33,97,5200,27,34,8949,Small,2268.4,86.2
jaguar xj,sedan,rwd,113,199.6,69.6,52.8,4066,six,258,3.63,176,4750,15,19,32250,Large,3616.6,146.6
peugeot 504,sedan,rwd,107.9,186.7,68.4,56.7,3075,four,120,3.46,97,5000,19,24,16630,Small,2717.8,86.2
audi 5000s (diesel),hatchback,4wd,99.5,178.2,67.9,52,3053,five,131,3.13,160,5500,16,22,17859.167,Small,2717.8,146.6
peugeot 505s turbo diesel,wagon,rwd,114.2,198.9,68.4,58.7,3485,four,152,3.7,95,4150,25,25,17075,Large,3167.2,86.2
mitsubishi g4,hatchback,fwd,96.3,173,65.4,49.4,2328,four,122,3.35,88,5000,25,32,8499,Small,2268.4,86.2
subaru dl,wagon,4wd,96.9,173.6,65.4,54.9,2420,four,108,3.62,82,4800,23,29,8013,Small,2268.4,56
honda civic 1500 gl,wagon,fwd,96.5,157.1,63.9,58.3,2024,four,92,2.92,76,6000,30,34,7295,Small,1819,56
volvo 264gl,sedan,rwd,109.1,188.8,68.9,55.5,3062,four,141,3.78,114,5400,19,25,22625,Small,2717.8,86.2
